,Artist,Streams,Daily,As lead,Solo,As feature,Artist_id
8137,Matisse,1752.6,0.83,1541.9,819.5,210.7,77aLk6J8ofnVxa1eXK9jiU
8138,Matisse,1752.6,0.83,1541.9,819.5,210.7,77aLk6J8ofnVxa1eXK9jiU
8139,Matisse,1752.6,0.83,1541.9,819.5,210.7,77aLk6J8ofnVxa1eXK9jiU
8140,Matisse,1752.6,0.83,1541.9,819.5,210.7,77aLk6J8ofnVxa1eXK9jiU
8141,Matisse,1752.6,0.83,1541.9,819.5,210.7,77aLk6J8ofnVxa1eXK9jiU
8142,Matisse,1752.6,0.83,1541.9,819.5,210.7,77aLk6J8ofnVxa1eXK9jiU
8143,Matisse,1752.6,0.83,1541.9,819.5,210.7,77aLk6J8ofnVxa1eXK9jiU
8144,Matisse,1752.6,0.83,1541.9,819.5,210.7,77aLk6J8ofnVxa1eXK9jiU
8145,Matisse,1752.6,0.83,1541.9,819.5,210.7,77aLk6J8ofnVxa1eXK9jiU
8146,Matisse,1752.6,0.83,1541.9,819.5,210.7,77aLk6J8ofnVxa1eXK9jiU
8147,Jenni Rivera,1751.1,1.048,1712.2,1542.9,39.0,5c4wQaXkNDqSOTjqX4ExAu
8148,Jenni Rivera,1751.1,1.048,1712.2,1542.9,39.0,5c4wQaXkNDqSOTjqX4ExAu
8149,Jenni Rivera,1751.1,1.048,1712.2,1542.9,39.0,5c4wQaXkNDqSOTjqX4ExAu
8150,Jenni Rivera,1751.1,1.048,1712.2,1542.9,39.0,5c4wQaXkNDqSOTjqX4ExAu
8151,Jenni Rivera,1751.1,1.048,1712.2,1542.9,39.0,5c4wQaXkNDqSOTjqX4ExAu
8152,Jenni Rivera,1751.1,1.048,1712.2,1542.9,39.0,5c4wQaXkNDqSOTjqX4ExAu
8153,Jenni Rivera,1751.1,1.048,1712.2,1542.9,39.0,5c4wQaXkNDqSOTjqX4ExAu
8154,Jenni Rivera,1751.1,1.048,1712.2,1542.9,39.0,5c4wQaXkNDqSOTjqX4ExAu
8155,Jenni Rivera,1751.1,1.048,1712.2,1542.9,39.0,5c4wQaXkNDqSOTjqX4ExAu
8156,Jenni Rivera,1751.1,1.048,1712.2,1542.9,39.0,5c4wQaXkNDqSOTjqX4ExAu
8157,Blondie,1750.1,1.278,1749.8,1737.4,0.4,4tpUmLEVLCGFr93o8hFFIB
8158,Blondie,1750.1,1.278,1749.8,1737.4,0.4,4tpUmLEVLCGFr93o8hFFIB
8159,Blondie,1750.1,1.278,1749.8,1737.4,0.4,4tpUmLEVLCGFr93o8hFFIB
8160,Blondie,1750.1,1.278,1749.8,1737.4,0.4,4tpUmLEVLCGFr93o8hFFIB
8161,Blondie,1750.1,1.278,1749.8,1737.4,0.4,4tpUmLEVLCGFr93o8hFFIB
8162,Blondie,1750.1,1.278,1749.8,1737.4,0.4,4tpUmLEVLCGFr93o8hFFIB
8163,Blondie,1750.1,1.278,1749.8,1737.4,0.4,4tpUmLEVLCGFr93o8hFFIB
8164,Tom Petty and the Heartbreakers,1749.9,1.007,1690.7,1681.2,59.1,4tX2TplrkIP4v05BNC903e
8165,Tom Petty and the Heartbreakers,1749.9,1.007,1690.7,1681.2,59.1,4tX2TplrkIP4v05BNC903e
8166,Tom Petty and the Heartbreakers,1749.9,1.007,1690.7,1681.2,59.1,4tX2TplrkIP4v05BNC903e
8167,Tom Petty and the Heartbreakers,1749.9,1.007,1690.7,1681.2,59.1,4tX2TplrkIP4v05BNC903e
8168,Tom Petty and the Heartbreakers,1749.9,1.007,1690.7,1681.2,59.1,4tX2TplrkIP4v05BNC903e
8169,Tom Petty and the Heartbreakers,1749.9,1.007,1690.7,1681.2,59.1,4tX2TplrkIP4v05BNC903e
8170,Tom Petty and the Heartbreakers,1749.9,1.007,1690.7,1681.2,59.1,4tX2TplrkIP4v05BNC903e
8171,Tom Petty and the Heartbreakers,1749.9,1.007,1690.7,1681.2,59.1,4tX2TplrkIP4v05BNC903e
8172,Tom Petty and the Heartbreakers,1749.9,1.007,1690.7,1681.2,59.1,4tX2TplrkIP4v05BNC903e
8173,Tom Petty and the Heartbreakers,1749.9,1.007,1690.7,1681.2,59.1,4tX2TplrkIP4v05BNC903e
8174,Kimbra,1749.1,0.894,157.1,150.4,1591.9,6hk7Yq1DU9QcCCrz9uc0Ti
8175,Kimbra,1749.1,0.894,157.1,150.4,1591.9,6hk7Yq1DU9QcCCrz9uc0Ti
8176,Kimbra,1749.1,0.894,157.1,150.4,1591.9,6hk7Yq1DU9QcCCrz9uc0Ti
